Postcode,Gemeente,Deelgemeente,Provincie,Inwoners,"Facili-
teiten","Vertaling naam
(deel)gemeente",
6280,Gerpinnes,Loverval,Hainaut,,,,
6280,Gerpinnes,Villers-Poterie,Hainaut,,,,
6440,Froidchapelle,Boussu-lez-Walcourt,Hainaut,,,,
6440,Froidchapelle,Fourbechies,Hainaut,,,,
6440,Froidchapelle,Vergnies,Hainaut,,,,
6441,Froidchapelle,Erpion,Hainaut,,,,
6460,Chimay,Baili�vre,Hainaut,,,,
6460,Chimay,Robechies,Hainaut,,,,
6460,Chimay,Saint-Remy,Hainaut,,,,
6460,Chimay,Salles,Hainaut,,,,
6460,Chimay,Villers-la-Tour,Hainaut,,,,
6461,Chimay,Virelles,Hainaut,,,,
6462,Chimay,Vaulx,Hainaut,,,,
6463,Chimay,Lompret,Hainaut,,,,
6464,Chimay,Baileux,Hainaut,,,,
6464,Chimay,Bourlers,Hainaut,,,,
6464,Chimay,Forges,Hainaut,,,,
6464,Chimay,L'Escaill�re,Hainaut,,,,
6464,Chimay,Ri�zes,Hainaut,,,,
6470,Sivry-Rance,Grandrieu,Hainaut,,,,
6470,Sivry-Rance,Montbliart,Hainaut,,,,
6470,Sivry-Rance,Rance,Hainaut,,,,
6470,Sivry-Rance,Sautin,Hainaut,,,,
6470,Sivry-Rance,Sivry,Hainaut,,,,
6500,Beaumont,Barben�on,Hainaut,,,,
6500,Beaumont,Leugnies,Hainaut,,,,
6500,Beaumont,Leval-Chaudeville,Hainaut,,,,
6500,Beaumont,Renlies,Hainaut,,,,
6500,Beaumont,Solre-Saint-G�ry,Hainaut,,,,
6500,Beaumont,Thirimont,Hainaut,,,,
6511,Beaumont,Str�e,Hainaut,,,,
6530,Thuin,Leers-et-Fosteau,Hainaut,,,,
6531,Thuin,Biesme-sous-Thuin,Hainaut,,,,
6532,Thuin,Ragnies,Hainaut,,,,
6533,Thuin,Bierc�e,Hainaut,,,,
6534,Thuin,Goze�,Hainaut,,,,
6536,Thuin,Donstiennes,Hainaut,,,,
6536,Thuin,Thuillies,Hainaut,,,,
6540,Lobbes,Mont-Sainte-Genevi�ve,Hainaut,,,,
6542,Lobbes,Sars-la-Buissi�re,Hainaut,,,,
6543,Lobbes,Bienne-lez-Happart,Hainaut,,,,
6560,Erquelinnes,Bersillies-L'Abbaye,Hainaut,,,,
6560,Erquelinnes,Grand-Reng,Hainaut,,,,
6560,Erquelinnes,Hantes-Wih�ries,Hainaut,,,,
6560,Erquelinnes,Montignies-Saint-Christophe,Hainaut,,,,
6560,Erquelinnes,Solre-sur-Sambre,Hainaut,,,,
6567,Merbes-le-Ch�teau,Fontaine-Valmont,Hainaut,,,,
6567,Merbes-le-Ch�teau,Labuissi�re,Hainaut,,,,
6567,Merbes-le-Ch�teau,Merbes-Sainte-Marie,Hainaut,,,,
6591,Momignies,Macon,Hainaut,,,,
6592,Momignies,Monceau-Imbrechies,Hainaut,,,,
6593,Momignies,Macquenoise,Hainaut,,,,
6594,Momignies,Beauwelz,Hainaut,,,,
6596,Momignies,Forge-Philippe,Hainaut,,,,
6596,Momignies,Seloignes,Hainaut,,,,
6600,Bastogne,Longvilly,Luxembourg,,,,
6600,Bastogne,Noville,Luxembourg,,,,
6600,Bastogne,Villers-la-Bonne-Eau,Luxembourg,,,,
6600,Bastogne,Wardin,Luxembourg,,,,
6637,Fauvillers,Hollange,Luxembourg,,,,
6637,Fauvillers,Tintange,Luxembourg,,,,
6640,Vaux-sur-S�re,Hompr�,Luxembourg,,,,
6640,Vaux-sur-S�re,Morhet,Luxembourg,,,,
6640,Vaux-sur-S�re,Nives,Luxembourg,,,,
6640,Vaux-sur-S�re,Sibret,Luxembourg,,,,
6640,Vaux-sur-S�re,Vaux-lez-Rosi�res,Luxembourg,,,,
6642,Vaux-sur-S�re,Juseret,Luxembourg,,,,
6660,Houffalize,Nadrin,Luxembourg,,,,
6661,Houffalize,Mont,Luxembourg,,,,
6661,Houffalize,Tailles,Luxembourg,,,,
6662,Houffalize,Tavigny,Luxembourg,,,,
6663,Houffalize,Mabompr�,Luxembourg,,,,
6666,Houffalize,Wibrin,Luxembourg,,,,
6670,Gouvy,Limerl�,Luxembourg,,,,
6671,Gouvy,Bovigny,Luxembourg,,,,
6672,Gouvy,Beho,Luxembourg,,,,
6673,Gouvy,Cherain,Luxembourg,,,,
6674,Gouvy,Montleban,Luxembourg,,,,
6680,Sainte-Ode,Amberloup,Luxembourg,,,,
6680,Sainte-Ode,Tillet,Luxembourg,,,,
6681,Sainte-Ode,Lavacherie,Luxembourg,,,,
6686,Bertogne,Flamierge,Luxembourg,,,,
6688,Bertogne,Longchamps,Luxembourg,,,,
6690,Vielsalm,Bihain,Luxembourg,,,,
6692,Vielsalm,Petit-Thier,Luxembourg,,,,
6698,Vielsalm,Grand-Halleux,Luxembourg,,,,
6700,Arlon,Bonnert,Luxembourg,,,,
6700,Arlon,Heinsch,Luxembourg,,,,
6700,Arlon,Toernich,Luxembourg,,,,
6704,Arlon,Guirsch,Luxembourg,,,,
6706,Arlon,Autelbas,Luxembourg,,,,
6717,Attert,Nobressart,Luxembourg,,,,
6717,Attert,Nothomb,Luxembourg,,,,
6717,Attert,Thiaumont,Luxembourg,,,,
6717,Attert,Tontelange,Luxembourg,,,,
6720,Habay,Habay-la-Neuve,Luxembourg,,,,
6720,Habay,Hachy,Luxembourg,,,,
6721,Habay,Anlier,Luxembourg,,,,
6723,Habay,Habay-la-Vieille,Luxembourg,,,,
6724,Habay,Houdemont,Luxembourg,,,,
6724,Habay,Rulles,Luxembourg,,,,
6730,Tintigny,Bellefontaine,Luxembourg,,,,
6730,Tintigny,Rossignol,Luxembourg,,,,
6730,Tintigny,Saint-Vincent,Luxembourg,,,,
6740,�talle,Sainte-Marie,Luxembourg,,,,
6740,�talle,Villers-sur-Semois,Luxembourg,,,,
6741,�talle,Vance,Luxembourg,,,,
6742,�talle,Chantemelle,Luxembourg,,,,
6743,�talle,Buzenol,Luxembourg,,,,
6747,Saint-L�ger,Ch�tillon,Luxembourg,,,,
6747,Saint-L�ger,Meix-le-Tige,Luxembourg,,,,
6750,Musson,Mussy-la-Ville,Luxembourg,,,,
6760,Virton,Bleid,Luxembourg,,,,
6760,Virton,Ethe,Luxembourg,,,,
6760,Virton,Ruette,Luxembourg,,,,
6761,Virton,Latour,Luxembourg,,,,
6762,Virton,Saint-Mard,Luxembourg,,,,
6767,Rouvroy,Dampicourt,Luxembourg,,,,
6767,Rouvroy,Harnoncourt,Luxembourg,,,,
6767,Rouvroy,Lamorteau,Luxembourg,,,,
6767,Rouvroy,Torgny,Luxembourg,,,,
6769,Meix-devant-Virton,G�rouville,Luxembourg,,,,
6769,Meix-devant-Virton,Robelmont,Luxembourg,,,,
6769,Meix-devant-Virton,Sommethonne,Luxembourg,,,,
6769,Meix-devant-Virton,Villers-la-Loue,Luxembourg,,,,
6780,Messancy,Hondelange,Luxembourg,,,,
6780,Messancy,Wolkrange,Luxembourg,,,,
6781,Messancy,S�lange,Luxembourg,,,,
6782,Messancy,Habergy,Luxembourg,,,,
6791,Aubange,Athus,Luxembourg,,,,
6792,Aubange,Halanzy,Luxembourg,,,,
6792,Aubange,Rachecourt,Luxembourg,,,,
6800,Libramont-Chevigny,Bras,Luxembourg,,,,
6800,Libramont-Chevigny,Freux,Luxembourg,,,,
6800,Libramont-Chevigny,Libramont,Luxembourg,,,,
6800,Libramont-Chevigny,Moircy,Luxembourg,,,,
6800,Libramont-Chevigny,Recogne,Luxembourg,,,,
6800,Libramont-Chevigny,Remagne,Luxembourg,,,,
6800,Libramont-Chevigny,Sainte-Marie-Chevigny,Luxembourg,,,,
6800,Libramont-Chevigny,Saint-Pierre,Luxembourg,,,,
6810,Chiny,Izel,Luxembourg,,,,
6810,Chiny,Jamoigne,Luxembourg,,,,
6811,Chiny,Les Bulles,Luxembourg,,,,
6812,Chiny,Suxy,Luxembourg,,,,
6813,Chiny,Termes,Luxembourg,,,,
6820,Florenville,Fontenoille,Luxembourg,,,,
6820,Florenville,Muno,Luxembourg,,,,
6820,Florenville,Sainte-C�cile,Luxembourg,,,,
6821,Florenville,Lacuisine,Luxembourg,,,,
6823,Florenville,Villers-devant-Orval,Luxembourg,,,,
6824,Florenville,Chassepierre,Luxembourg,,,,
6830,Bouillon,Les Hayons,Luxembourg,,,,
6830,Bouillon,Poupehan,Luxembourg,,,,
6830,Bouillon,Rochehaut,Luxembourg,,,,
6831,Bouillon,Noirefontaine,Luxembourg,,,,
6832,Bouillon,Sensenruth,Luxembourg,,,,
6833,Bouillon,Ucimont,Luxembourg,,,,
6833,Bouillon,Vivy,Luxembourg,,,,
6834,Bouillon,Bellevaux,Luxembourg,,,,
6836,Bouillon,Dohan,Luxembourg,,,,
6838,Bouillon,Corbion,Luxembourg,,,,
6840,Neufch�teau,Grandvoir,Luxembourg,,,,
6840,Neufch�teau,Grapfontaine,Luxembourg,,,,
6840,Neufch�teau,Hamipr�,Luxembourg,,,,
6840,Neufch�teau,Longlier,Luxembourg,,,,
6840,Neufch�teau,Tournay,Luxembourg,,,,
6850,Paliseul,Carlsbourg,Luxembourg,,,,
6850,Paliseul,Offagne,Luxembourg,,,,
6851,Paliseul,Nollevaux,Luxembourg,,,,
6852,Paliseul,Maissin,Luxembourg,,,,
6852,Paliseul,Opont,Luxembourg,,,,
6853,Paliseul,Framont,Luxembourg,,,,
6856,Paliseul,Fays-les-Veneurs,Luxembourg,,,,
6860,L�glise,Assenois,Luxembourg,,,,
6860,L�glise,Ebly,Luxembourg,,,,
6860,L�glise,Mellier,Luxembourg,,,,
6860,L�glise,Witry,Luxembourg,,,,
6870,Saint-Hubert,Arville,Luxembourg,,,,
6870,Saint-Hubert,Awenne,Luxembourg,,,,
6870,Saint-Hubert,Hatrival,Luxembourg,,,,
6870,Saint-Hubert,Mirwart,Luxembourg,,,,
6870,Saint-Hubert,Vesqueville,Luxembourg,,,,
6880,Bertrix,Auby-sur-Semois,Luxembourg,,,,
6880,Bertrix,Cugnon,Luxembourg,,,,
6880,Bertrix,Jehonville,Luxembourg,,,,
6880,Bertrix,Orgeo,Luxembourg,,,,
6887,Herbeumont,Saint-M�dard,Luxembourg,,,,
6887,Herbeumont,Straimont,Luxembourg,,,,
6890,Libin,Anloy,Luxembourg,,,,
6890,Libin,Ochamps,Luxembourg,,,,
6890,Libin,Redu,Luxembourg,,,,
6890,Libin,Smuid,Luxembourg,,,,
6890,Libin,Transinne,Luxembourg,,,,
6890,Libin,Villance,Luxembourg,,,,
6900,Marche-en-Famenne,Aye,Luxembourg,,,,
6900,Marche-en-Famenne,Hargimont,Luxembourg,,,,
6900,Marche-en-Famenne,Humain,Luxembourg,,,,
6900,Marche-en-Famenne,On,Luxembourg,,,,
6900,Marche-en-Famenne,Roy,Luxembourg,,,,
6900,Marche-en-Famenne,Waha,Luxembourg,,,,
6920,Wellin,Sohier,Luxembourg,,,,
6921,Wellin,Chanly,Luxembourg,,,,
6922,Wellin,Halma,Luxembourg,,,,
6924,Wellin,Lomprez,Luxembourg,,,,
6927,Tellin,Bure,Luxembourg,,,,
6927,Tellin,Grupont,Luxembourg,,,,
6927,Tellin,Resteigne,Luxembourg,,,,
6929,Daverdisse,Gembes,Luxembourg,,,,
6929,Daverdisse,Haut-Fays,Luxembourg,,,,
6929,Daverdisse,Porcheresse,Luxembourg,,,,
6940,Durbuy,Barvaux,Luxembourg,,,,
6940,Durbuy,Grandhan,Luxembourg,,,,
6940,Durbuy,Septon,Luxembourg,,,,
6940,Durbuy,W�ris,Luxembourg,,,,
6941,Durbuy,Bende,Luxembourg,,,,
6941,Durbuy,Bomal,Luxembourg,,,,
6941,Durbuy,Borlon,Luxembourg,,,,
6941,Durbuy,Heyd,Luxembourg,,,,
6941,Durbuy,Izier,Luxembourg,,,,
6941,Durbuy,Tohogne,Luxembourg,,,,
6941,Durbuy,Villers-Sainte-Gertrude,Luxembourg,,,,
6950,Nassogne,Harsin,Luxembourg,,,,
6951,Nassogne,Bande,Luxembourg,,,,
6952,Nassogne,Grune,Luxembourg,,,,
6953,Nassogne,Ambly,Luxembourg,,,,
6953,Nassogne,Forri�res,Luxembourg,,,,
6953,Nassogne,Lesterny,Luxembourg,,,,
6953,Nassogne,Masbourg,Luxembourg,,,,
6960,Manhay,Dochamps,Luxembourg,,,,
6960,Manhay,Grandmenil,Luxembourg,,,,
6960,Manhay,Harre,Luxembourg,,,,
6960,Manhay,Malempr�,Luxembourg,,,,
6960,Manhay,Odeigne,Luxembourg,,,,
6960,Manhay,Vaux-Chavanne,Luxembourg,,,,
6971,Tenneville,Champlon,Luxembourg,,,,
6972,Tenneville,Erneuville,Luxembourg,,,,
6980,La Roche-en-Ardenne,Beausaint,Luxembourg,,,,
6982,La Roche-en-Ardenne,Samr�e,Luxembourg,,,,
6983,La Roche-en-Ardenne,Ortho,Luxembourg,,,,
6984,La Roche-en-Ardenne,Hives,Luxembourg,,,,
6986,La Roche-en-Ardenne,Halleux,Luxembourg,,,,
6987,Rendeux,Beffe,Luxembourg,,,,
6987,Rendeux,Hodister,Luxembourg,,,,
6987,Rendeux,Marcourt,Luxembourg,,,,
6990,Hotton,Fronville,Luxembourg,,,,
6990,Hotton,Hampteau,Luxembourg,,,,
6990,Hotton,Marenne,Luxembourg,,,,
6997,�rez�e,Amonines,Luxembourg,,,,
6997,�rez�e,Mormont,Luxembourg,,,,
6997,�rez�e,Soy,Luxembourg,,,,
7011,Mons,Ghlin,Hainaut,,,,
7012,Mons,Fl�nu,Hainaut,,,,
7012,Mons,Jemappes,Hainaut,,,,
7020,Mons,Maisi�res,Hainaut,,,,
7020,Mons,Nimy,Hainaut,,,,
7021,Mons,Havr�,Hainaut,,,,
7022,Mons,Harmignies,Hainaut,,,,
7022,Mons,Harveng,Hainaut,,,,
7022,Mons,Hyon,Hainaut,,,,
7022,Mons,Mesvin,Hainaut,,,,
7022,Mons,Nouvelles,Hainaut,,,,
7024,Mons,Ciply,Hainaut,,,,
7030,Mons,Saint-Symphorien,Hainaut,,,,
7031,Mons,Villers-Saint-Ghislain,Hainaut,,,,
7032,Mons,Spiennes,Hainaut,,,,
7033,Mons,Cuesmes,Hainaut,,,,
7034,Mons,Obourg,Hainaut,,,,
7034,Mons,Saint-Denis,Hainaut,,,,
7040,Qu�vy,Asquillies,Hainaut,,,,
7040,Qu�vy,Aulnois,Hainaut,,,,
7040,Qu�vy,Blaregnies,Hainaut,,,,
7040,Qu�vy,Bougnies,Hainaut,,,,
7040,Qu�vy,Genly,Hainaut,,,,
7040,Qu�vy,Goegnies-Chauss�e,Hainaut,,,,
7040,Qu�vy,Qu�vy-le-Grand,Hainaut,,,,
7040,Qu�vy,Qu�vy-le-Petit,Hainaut,,,,
7041,Qu�vy,Givry,Hainaut,,,,
7041,Qu�vy,Havay,Hainaut,,,,
7050,Jurbise,Erbaut,Hainaut,,,,
7050,Jurbise,Erbisoeul,Hainaut,,,,
7050,Jurbise,Herchies,Hainaut,,,,
7050,Jurbise,Masnuy-Saint-Jean,Hainaut,,,,
7050,Jurbise,Masnuy-Saint-Pierre,Hainaut,,,,
7060,Soignies,Horrues,Hainaut,,,,
7061,Soignies,Casteau,Hainaut,,,,
7061,Soignies,Thieusies,Hainaut,,,,
7062,Soignies,Naast,Hainaut,,,,
7063,Soignies,Chauss�e-Notre-Dame-Louvignies,Hainaut,,,,
7063,Soignies,Neufvilles,Hainaut,,,,
7070,Le Roeulx,Gottignies,Hainaut,,,,
7070,Le Roeulx,Mignault,Hainaut,,,,
7070,Le Roeulx,Thieu,Hainaut,,,,
7070,Le Roeulx,Ville-sur-Haine,Hainaut,,,,
7080,Frameries,Eugies,Hainaut,,,,
7080,Frameries,La Bouverie,Hainaut,,,,
7080,Frameries,Noirchain,Hainaut,,,,
7080,Frameries,Sars-la-Bruy�re,Hainaut,,,,
7090,Braine-le-Comte,Hennuy�res,Hainaut,,,,
7090,Braine-le-Comte,Henripont,Hainaut,,,,
7090,Braine-le-Comte,Petit-Roeulx-lez-Braine,Hainaut,,,,
7090,Braine-le-Comte,Ronqui�res,Hainaut,,,,
7090,Braine-le-Comte,Steenkerque,Hainaut,,,,
7100,La Louvi�re,Haine-Saint-Paul,Hainaut,,,,
7100,La Louvi�re,Haine-Saint-Pierre,Hainaut,,,,
7100,La Louvi�re,Saint-Vaast,Hainaut,,,,
7100,La Louvi�re,Trivi�res,Hainaut,,,,
7110,La Louvi�re,Houdeng-Aimeries,Hainaut,,,,
7110,La Louvi�re,Houdeng-Goegnies,Hainaut,,,,
7110,La Louvi�re,Maurage,Hainaut,,,,
7110,La Louvi�re,Str�py-Bracquegnies,Hainaut,,,,
7120,Estinnes,Croix-lez-Rouveroy,Hainaut,,,,
7120,Estinnes,Estinnes-au-Mont,Hainaut,,,,
7120,Estinnes,Estinnes-au-Val,Hainaut,,,,
7120,Estinnes,Fauroeulx,Hainaut,,,,
7120,Estinnes,Haulchin,Hainaut,,,,
7120,Estinnes,Peissant,Hainaut,,,,
7120,Estinnes,Rouveroy,Hainaut,,,,
7120,Estinnes,Vellereille-les-Brayeux,Hainaut,,,,
7120,Estinnes,Vellereille-le-Sec,Hainaut,,,,
7130,Binche,Battignies,Hainaut,,,,
7130,Binche,Bray,Hainaut,,,,
7131,Binche,Waudrez,Hainaut,,,,
7133,Binche,Buvrinnes,Hainaut,,,,
7134,Binche,Epinois,Hainaut,,,,
7134,Binche,Leval-Trahegnies,Hainaut,,,,
7134,Binche,P�ronnes,Hainaut,,,,
7134,Binche,Ressaix,Hainaut,,,,
7140,Morlanwelz,Morlanweiz-Mariemont,Hainaut,,,,
7141,Morlanwelz,Carni�res,Hainaut,,,,
7141,Morlanwelz,Mont-Sainte-Aldegonde,Hainaut,,,,
7160,Chapelle-lez-Herlaimont,Godarville,Hainaut,,,,
7160,Chapelle-lez-Herlaimont,Pi�ton,Hainaut,,,,
7170,Manage,Bellecourt,Hainaut,,,,
7170,Manage,Bois-d'Haine,Hainaut,,,,
7170,Manage,Fayt-lez-Manage,Hainaut,,,,
7170,Manage,La Hestre,Hainaut,,,,
7181,Seneffe,Arquennes,Hainaut,,,,
7181,Seneffe,Familleureux,Hainaut,,,,
7181,Seneffe,Feluy,Hainaut,,,,
7181,Seneffe,Petit-Roeulx-lez-Nivelles,Hainaut,,,,
7190,�caussinnes,Ecaussinnes d'Enghien,Hainaut,,,,
7190,�caussinnes,Marche-lez-Ecaussinnes,Hainaut,,,,
7191,�caussinnes,Ecaussinnes-Lalaing,Hainaut,,,,
7301,Boussu,Hornu,Hainaut,,,,
7321,Bernissart,Blaton,Hainaut,,,,
7321,Bernissart,Harchies,Hainaut,,,,
7322,Bernissart,Pommeroeul,Hainaut,,,,
7322,Bernissart,Ville-Pommeroeul,Hainaut,,,,
7331,Saint-Ghislain,Baudour,Hainaut,,,,
7332,Saint-Ghislain,Neufmaison,Hainaut,,,,
7332,Saint-Ghislain,Sirault,Hainaut,,,,
7333,Saint-Ghislain,Tertre,Hainaut,,,,
7334,Saint-Ghislain,Hautrage,Hainaut,,,,
7334,Saint-Ghislain,Villerot,Hainaut,,,,
7340,Colfontaine,P�turages,Hainaut,,,,
7340,Colfontaine,Warquignies,Hainaut,,,,
7340,Colfontaine,Wasmes,Hainaut,,,,
7350,Hensies,Hainin,Hainaut,,,,
7350,Hensies,Montroeul-sur-Haine,Hainaut,,,,
7350,Hensies,Thulin,Hainaut,,,,
7370,Dour,Blaugies,Hainaut,,,,
7370,Dour,Elouges,Hainaut,,,,
7370,Dour,Wih�ries,Hainaut,,,,
7380,Qui�vrain,Baisieux,Hainaut,,,,
7382,Qui�vrain,Audregnies,Hainaut,,,,
7387,Honnelles,Angre,Hainaut,,,,
7387,Honnelles,Angreau,Hainaut,,,,
7387,Honnelles,Athis,Hainaut,,,,
7387,Honnelles,Autreppe,Hainaut,,,,
7387,Honnelles,Erquennes,Hainaut,,,,
7387,Honnelles,Fayt-le-Franc,Hainaut,,,,
7387,Honnelles,Marchipont,Hainaut,,,,
7387,Honnelles,Montignies-sur-Roc,Hainaut,,,,
7387,Honnelles,Onnezies,Hainaut,,,,
7387,Honnelles,Roisin,Hainaut,,,,
7390,Quaregnon,Wasmuel,Hainaut,,,,
7500,Tournai,Ere,Hainaut,,,,
7500,Tournai,Saint-Maur,Hainaut,,,,
7501,Tournai,Orcq,Hainaut,,,,
7502,Tournai,Esplechin,Hainaut,,,,
7503,Tournai,Froyennes,Hainaut,,,,
7504,Tournai,Froidmont,Hainaut,,,,
7506,Tournai,Willemeau,Hainaut,,,,
7520,Tournai,Ramegnies-Chin,Hainaut,,,,
7520,Tournai,Templeuve,Hainaut,,,,
7521,Tournai,Chercq,Hainaut,,,,
7522,Tournai,Blandain,Hainaut,,,,
7522,Tournai,Hertain,Hainaut,,,,
7522,Tournai,Lamain,Hainaut,,,,
7522,Tournai,Marquain,Hainaut,,,,
7530,Tournai,Gaurain-Ramecroix,Hainaut,,,,
7531,Tournai,Havinnes,Hainaut,,,,
7532,Tournai,Beclers,Hainaut,,,,
7533,Tournai,Thimougies,Hainaut,,,,
7534,Tournai,Barry,Hainaut,,,,
7534,Tournai,Maulde,Hainaut,,,,
7536,Tournai,Vaulx,Hainaut,,,,
7538,Tournai,Vezon,Hainaut,,,,
7540,Tournai,Kain,Hainaut,,,,
7540,Tournai,Melles,Hainaut,,,,
7540,Tournai,Quartes,Hainaut,,,,
7540,Tournai,Rumillies,Hainaut,,,,
7542,Tournai,Mont-Saint-Aubert,Hainaut,,,,
7543,Tournai,Mourcourt,Hainaut,,,,
7548,Tournai,Warchin,Hainaut,,,,
7601,P�ruwelz,Roucourt,Hainaut,,,,
7602,P�ruwelz,Bury,Hainaut,,,,
7603,P�ruwelz,Bon-Secours,Hainaut,,,,
7604,P�ruwelz,Baugnies,Hainaut,,,,
7604,P�ruwelz,Braffe,Hainaut,,,,
7604,P�ruwelz,Brasmenil,Hainaut,,,,
7604,P�ruwelz,Callenelle,Hainaut,,,,
7604,P�ruwelz,Wasmes-Audemez-Briffoeil,Hainaut,,,,
7608,P�ruwelz,Wiers,Hainaut,,,,
7611,Rumes,La Glanerie,Hainaut,,,,
7618,Rumes,Taintignies,Hainaut,,,,
7620,Brunehaut,Bl�haries,Hainaut,,,,
7620,Brunehaut,Guignies,Hainaut,,,,
7620,Brunehaut,Hollain,Hainaut,,,,
7620,Brunehaut,Jollain-Merlin,Hainaut,,,,
7620,Brunehaut,Wez-Velvain,Hainaut,,,,
7621,Brunehaut,Lesdain,Hainaut,,,,
7622,Brunehaut,Laplaigne,Hainaut,,,,
7623,Brunehaut,Rongy,Hainaut,,,,
7624,Brunehaut,Howardries,Hainaut,,,,
7640,Antoing,Maubray,Hainaut,,,,
7640,Antoing,P�ronnes,Hainaut,,,,
7641,Antoing,Bruyelle,Hainaut,,,,
7642,Antoing,Calonne,Hainaut,,,,
7643,Antoing,Fontenoye,Hainaut,,,,
7700,Mouscron,Luingne,Hainaut,,n,,
7710,La Louvi�re,Boussoit,Hainaut,,,,
7711,Mouscron,Dottenijs,Hainaut,,n,Dottignies,
7711,Mouscron,Dottignies,Hainaut,,n,Dottenijs,
7712,Mouscron,Herseaux,Hainaut,,n,,
7730,Estaimpuis,Bailleul,Hainaut,,,,
7730,Estaimpuis,Estaimbourg,Hainaut,,,,
7730,Estaimpuis,Evregnies,Hainaut,,,,
7730,Estaimpuis,Leers-Nord,Hainaut,,,,
7730,Estaimpuis,N�chin,Hainaut,,,,
7730,Estaimpuis,Saint-L�ger,Hainaut,,,,
7740,Pecq,Warcoing,Hainaut,,,,
7742,Pecq,H�rinnes,Hainaut,,,,
7743,Pecq,Esquelmes,Hainaut,,,,
7743,Pecq,Obigies,Hainaut,,,,
7750,Mont-de-l'Enclus,Amougies,Hainaut,,,,
7750,Mont-de-l'Enclus,Anseroeul,Hainaut,,,,
7750,Mont-de-l'Enclus,Orroir,Hainaut,,,,
7750,Mont-de-l'Enclus,Russeignies,Hainaut,,,,
7760,Celles,Escanaffles,Hainaut,,,,
7760,Celles,Molenbaix,Hainaut,,,,
7760,Celles,Popuelles,Hainaut,,,,
7760,Celles,Pottes,Hainaut,,,,
7760,Celles,Velaines,Hainaut,,,,
7780,Comines-Warneton,Comines,Hainaut,,n,Komen,
7780,Comines-Warneton,Komen,Hainaut,,n,Comines,
7781,Comines-Warneton,Houthem,Hainaut,,n,,
7782,Comines-Warneton,Ploegsteert,Hainaut,,n,,
7784,Comines-Warneton,Bas-Warneton,Hainaut,,n,Neerwaasten,
7784,Comines-Warneton,Neerwaasten,Hainaut,,n,Bas-Warneton,
7784,Comines-Warneton,Waasten,Hainaut,,n,Warneton,
7784,Comines-Warneton,Warneton,Hainaut,,n,Waasten,
7800,Ath,Lanquesaint,Hainaut,,,,
7801,Ath,Irchonwelz,Hainaut,,,,
7802,Ath,Ormeignies,Hainaut,,,,
7803,Ath,Bouvignies,Hainaut,,,,
7804,Ath,Ostiches,Hainaut,,,,
7804,Ath,Rebaix,Hainaut,,,,
7810,Ath,Maffle,Hainaut,,,,
7811,Ath,Arbre,Hainaut,,,,
7812,Ath,Houtaing,Hainaut,,,,
7812,Ath,Ligne,Hainaut,,,,
7812,Ath,Mainvault,Hainaut,,,,
7812,Ath,Moulbaix,Hainaut,,,,
7812,Ath,Villers-Notre-Dame,Hainaut,,,,
7812,Ath,Villers-Saint-Amand,Hainaut,,,,
7822,Ath,Ghislenghien,Hainaut,,,,
7822,Ath,Isi�res,Hainaut,,,,
7822,Ath,Meslin-�v�que,Hainaut,,,,
7823,Ath,Gibecq,Hainaut,,,,
7830,Silly,Bassilly,Hainaut,,,,
7830,Silly,Fouleng,Hainaut,,,,
7830,Silly,Gondregnies,Hainaut,,,,
7830,Silly,Graty,Hainaut,,,,
7830,Silly,Hellebecq,Hainaut,,,,
7830,Silly,Hoves,Hainaut,,,,
7830,Silly,Thoricourt,Hainaut,,,,
7850,Enghien,Lettelingen,Hainaut,,n,Petit-Enghien,
7850,Enghien,Marcq,Hainaut,,n,Mark,
7850,Enghien,Mark,Hainaut,,n,Marcq,
7850,Enghien,Petit-Enghien,Hainaut,,n,Lettelingen,
7861,Lessines,Papignies,Hainaut,,,,
7861,Lessines,Wannebecq,Hainaut,,,,
7862,Lessines,Ogy,Hainaut,,,,
7863,Lessines,Ghoy,Hainaut,,,,
7864,Lessines,Deux-Acren,Hainaut,,,,
7866,Lessines,Bois-de-Lessines,Hainaut,,,,
7866,Lessines,Ollignies,Hainaut,,,,
7870,Lens,Bauffe,Hainaut,,,,
7870,Lens,Cambron-Saint-Vincent,Hainaut,,,,
7870,Lens,Lombise,Hainaut,,,,
7870,Lens,Montignies-lez-Lens,Hainaut,,,,
7890,Ellezelles,Lahamaide,Hainaut,,,,
7890,Ellezelles,Wodecq,Hainaut,,,,
7900,Leuze-en-Hainaut,Grandmetz,Hainaut,,,,
7900,Leuze-en-Hainaut,Leuze,Hainaut,,,,
7901,Leuze-en-Hainaut,Thieulain,Hainaut,,,,
7903,Leuze-en-Hainaut,Blicquy,Hainaut,,,,
7903,Leuze-en-Hainaut,Chapelle-�-Oie,Hainaut,,,,
7903,Leuze-en-Hainaut,Chapelle-�-Wattines,Hainaut,,,,
7904,Leuze-en-Hainaut,Pipaix,Hainaut,,,,
7904,Leuze-en-Hainaut,Tourpes,Hainaut,,,,
7904,Leuze-en-Hainaut,Willaupuis,Hainaut,,,,
7906,Leuze-en-Hainaut,Gallaix,Hainaut,,,,
7910,Frasnes-lez-Anvaing,Anvaing,Hainaut,,,,
7910,Frasnes-lez-Anvaing,Arc-Aini�res,Hainaut,,,,
7910,Frasnes-lez-Anvaing,Arc-Wattripont,Hainaut,,,,
