,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
0,house,essen,2910,10666428,469000,Heidestatiestraat 26,3,D,390.0,0,1,0,760,34,4,0,0,0,1,0,0,2,Installed,0,469000,€469000,1,Antwerpen,Flanders
1,house,bierges,1301,10666426,1395000,"Rue de Wavre, 27",5,C,178.0,0,1,60,6468,50,4,1988,Good,0,2,3,1,4,Hyper equipped,Fuel oil,1395000,€1395000,1,Brabant wallon,Wallonia
2,apartment,arlon,6700,10666424,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0,Luxembourg,Wallonia
3,house,arlon,6700,10666423,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0,Luxembourg,Wallonia
4,apartment,antwerp,2000,10666422,425000,"Grote steenweg, 511",2,C,254.0,0,1,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,425000,€425000,1,Antwerpen,Flanders
6,house,grace-hollogne,4460,10666419,189000,Avenue Louis Libert 1,2,E,346.0,0,1,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,189000,€189000,1,Liï¿½ge,Wallonia
7,villa,aywaille,4920,10666418,399999,Avenue Louis Libert 1,4,C,228.0,0,1,0,1059,44,4,2004,To be done up,0,1,0,1,0,Semi equipped,Fuel oil,399999,€399999,1,Liï¿½ge,Wallonia
8,house,boom,2850,10666417,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1,Antwerpen,Flanders
9,mixed-use-building,boom,2850,10666416,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1,Antwerpen,Flanders
10,house,liedekerke,1770,10666410,269000,Affligemsestraat 443,3,D,396.0,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,269000,€269000,0,Vlaams-Brabant,Flanders
11,house,li%C3%A8ge,4030,10666409,480000,Route du Condroz 72,4,D,274.0,0,1,120,2183,16,4,1987,Good,0,2,1,1,2,Installed,Electric,480000,€480000,1,Liï¿½ge,Wallonia
12,house,aalst,9300,10666405,239000,Grote Baan 170,3,F,684.0,0,1,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,239000,€239000,1,Oost-Vlaanderen,Flanders
14,house,antwerp,2170,10666402,215000,Dorpsstraat 84,3,E,487.0,0,0,0,305,28,2,1946,To renovate,0,1,0,1,0,0,0,215000,€215000,0,Antwerpen,Flanders
15,service-flat,les%20bons%20villers%20villers-perwin,6210,10666397,170000,Place Emile Delalieux 1,1,B,106.0,0,1,8,0,26,0,2018,As new,0,1,1,0,1,Installed,Gas,170000,€170000,1,Hainaut,Wallonia
16,house,aalst,9300,10666396,310000,Brusselbaan 110,3,B,155.0,0,1,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,310000,€310000,1,Oost-Vlaanderen,Flanders
17,villa,uccle,1180,10666393,2950000,"Avenue de la Forêt de Soignes, 327",6,D,180.0,0,1,100,1800,80,4,0,As new,0,4,0,1,5,Hyper equipped,0,2950000,€2950000,1,Brussels Hoofdstedelijk Gewest,Brussels
18,house,leopoldsburg,3970,10666390,297000,Rondplein 14/2,3,B,199.0,0,1,0,562,28,4,1973,0,0,1,0,1,0,Hyper equipped,0,297000,€297000,1,Limburg,Flanders
19,house,deurne,2100,10666385,395000,Gitschotellei 153-157,3,B,162.0,0,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,395000,€395000,0,Antwerpen,Flanders
20,apartment,aalst,9300,10506515,125000,Brusselbaan 90,1,F,688.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
21,apartment,aalst,9300,10506513,125000,Brusselbaan 90,1,C,256.0,0,1,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
22,apartment,aalst,9300,10506511,125000,Brusselbaan 90,1,F,686.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
23,apartment,aalst,9300,10506510,155000,Brusselbaan 90,2,E,467.0,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,155000,€155000,0,Oost-Vlaanderen,Flanders
24,house,aalst,9300,10666384,259000,"Capucienenlaan, 1",4,C,238.0,0,1,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,259000,€259000,1,Oost-Vlaanderen,Flanders
25,duplex,la%20louvi%C3%A8re,7100,10666383,195000,Rue du Moulin 2,3,B,106.0,0,0,0,0,35,2,0,As new,0,1,0,0,0,Installed,0,195000,€195000,0,Hainaut,Wallonia
26,house,tournai%20kain,7540,10526137,395000,"Bld des Déportés, 56 A",1,E,383.0,0,1,0,1330,0,3,0,To be done up,0,1,1,1,2,Installed,Pellet,395000,€395000,1,Hainaut,Wallonia
27,exceptional-property,uccle,1180,10666382,1990000,Chaussée de Waterloo 1382,5,A,31.76,0,1,40,1184,65,4,2018,As new,0,3,1,1,5,USA hyper equipped,0,1990000,€1990000,1,Brussels Hoofdstedelijk Gewest,Brussels
28,apartment,woluwe-saint-lambert,1200,10666381,595000,Chaussée de Waterloo 1382,3,D,190.0,0,1,7,0,54,2,1937,Good,0,2,1,1,2,Hyper equipped,Fuel oil,595000,€595000,1,Brussels Hoofdstedelijk Gewest,Brussels
29,villa,olne,4877,10666371,700000,Voie de L'air Pur 211,3,C,218.0,0,1,0,3190,50,4,1993,As new,0,1,0,1,2,Installed,Fuel oil,700000,€700000,1,Liï¿½ge,Wallonia
30,house,brasschaat,2930,10666368,875000,Kempischveldweg 34,5,B,187.0,0,1,0,2146,46,4,1972,Good,0,2,0,1,0,USA hyper equipped,Gas,875000,€875000,1,Antwerpen,Flanders
31,exceptional-property,ekeren,2180,10666367,1295000,Kempischveldweg 34,5,C,206.0,0,1,0,2710,0,4,1895,As new,0,2,0,1,0,Hyper equipped,0,1295000,€1295000,1,Antwerpen,Flanders
36,house,hoboken,2660,10666355,595000,Koninlijkelaan 42,4,C,230.0,0,1,0,333,0,3,0,As new,0,2,0,0,0,0,Gas,595000,€595000,1,Antwerpen,Flanders
37,house,aalst,9300,10666354,325000,Steenweg 299,4,C,211.0,0,1,0,222,28,3,0,Good,0,1,0,0,0,Installed,Gas,325000,€325000,1,Oost-Vlaanderen,Flanders
38,house,laeken,1020,10666352,469000,"Avenue des Cerisiers, 212",4,F,283.0,0,1,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,469000,€469000,1,Brussels Hoofdstedelijk Gewest,Brussels
39,house,vilvoorde%20koningslo,1800,10666349,469000,"Avenue des Cerisiers, 212",4,C,283.0,0,1,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,469000,€469000,1,Vlaams-Brabant,Flanders
40,apartment,woluwe-saint-lambert,1200,10666348,240000,"Avenue des Cerisiers, 212",2,E,221.0,0,1,17,0,28,0,1964,To renovate,0,1,1,0,1,Semi equipped,Gas,240000,€240000,1,Brussels Hoofdstedelijk Gewest,Brussels
41,apartment,woluwe-saint-lambert,1200,10666347,299000,"Avenue des Cerisiers, 212",3,D,178.0,0,1,9,0,30,2,1964,To renovate,0,1,0,0,1,0,Fuel oil,299000,€299000,1,Brussels Hoofdstedelijk Gewest,Brussels
43,apartment,lichtervelde,8810,10560725,215000,Den Triangel 2,2,B,109.0,0,1,0,0,0,3,2012,As new,0,1,0,0,1,USA hyper equipped,0,215000,€215000,1,West-Vlaanderen,Flanders
47,apartment,schaerbeek,1030,10666334,200000,Avenue Baron Albert d'Huart 130,2,E,274.0,0,1,5,0,30,0,1970,To renovate,0,1,1,0,0,Installed,Gas,200000,€200000,1,Brussels Hoofdstedelijk Gewest,Brussels
48,house,lokeren,9160,10666333,175000,Kerkstraat 64,2,E,411.0,0,0,0,260,0,2,0,To be done up,0,1,0,0,1,Installed,Gas,175000,€175000,0,Oost-Vlaanderen,Flanders
49,exceptional-property,floreffe,5150,10666313,950000,Chaussée de Marche 474,5,C,234.0,0,1,120,24347,40,4,1989,As new,0,2,2,0,2,Installed,Fuel oil,950000,€950000,1,Namur,Wallonia
50,house,woluwe-saint-pierre,1150,10666312,840000,Rue Belliard 200,5,F,325.0,0,1,5,0,36,3,1931,As new,0,3,3,1,4,Hyper equipped,Gas,840000,€840000,1,Brussels Hoofdstedelijk Gewest,Brussels
51,house,schaerbeek,1030,10666309,1400000,Rue Belliard 200,8,E,253.0,0,1,0,305,389,2,1912,Good,0,4,116,1,2,Installed,Gas,1400000,€1400000,1,Brussels Hoofdstedelijk Gewest,Brussels
52,apartment,etterbeek,1040,10666308,570000,Rue Belliard 200,2,G,733.0,0,1,8,0,55,2,1960,Just renovated,0,1,0,0,2,USA hyper equipped,Fuel oil,570000,€570000,1,Brussels Hoofdstedelijk Gewest,Brussels
53,triplex,auderghem,1160,10666307,840000,Rue Belliard 200,5,F,325.0,0,1,5,0,36,3,1931,As new,0,3,0,1,4,Hyper equipped,Gas,840000,€840000,1,Brussels Hoofdstedelijk Gewest,Brussels
54,apartment-block,namur,5100,10666301,525000,Joseph Durieux 151,3,C,173.0,0,1,50,0,20,3,0,0,0,0,2,1,4,Hyper equipped,0,525000,€525000,1,Namur,Wallonia
55,mixed-use-building,fosses-la-ville,5070,10666300,189000,Joseph Durieux 151,3,G,557.0,0,1,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,189000,€189000,1,Namur,Wallonia
56,villa,malonne,5020,10666299,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1,Namur,Wallonia
57,exceptional-property,malonne,5020,10666298,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1,Namur,Wallonia
58,house,mettet,5640,10666296,250000,Joseph Durieux 151,4,G,590.0,0,1,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,250000,€250000,1,Namur,Wallonia
59,house,fraire,5650,10666292,250000,Joseph Durieux 151,4,G,590.0,0,1,30,1651,50,4,1980,To be done up,0,1,0,1,2,Semi equipped,Fuel oil,250000,€250000,1,Namur,Wallonia
61,house,loyers,5101,10666290,425000,Joseph Durieux 151,3,E,400.0,0,1,40,5135,50,4,0,0,0,2,0,1,3,USA installed,Fuel oil,425000,€425000,1,Namur,Wallonia
62,house,jemeppe-sur-sambre,5190,10666289,399000,Joseph Durieux 151,4,D,302.0,0,1,60,5000,56,4,0,To be done up,0,2,0,1,2,0,0,399000,€399000,1,Namur,Wallonia
63,house,fosses-la-ville,5070,10666284,189000,Joseph Durieux 151,3,G,557.0,0,1,27,0,0,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,189000,€189000,1,Namur,Wallonia
64,house,malonne,5020,10666283,700000,Joseph Durieux 151,3,C,223.0,0,1,80,12748,70,4,0,0,0,1,1,1,2,USA hyper equipped,Gas,700000,€700000,1,Namur,Wallonia
66,duplex,watermael-boitsfort,1170,10666278,620000,Avenue Louise 589,2,B,82.0,0,1,40,0,50,2,2005,As new,0,1,0,1,2,USA hyper equipped,Gas,620000,€620000,1,Brussels Hoofdstedelijk Gewest,Brussels
67,apartment,jette,1090,10666277,245000,Avenue François Sebrechts 26,2,E,250.0,0,1,8,0,30,0,1969,As new,0,1,0,0,1,Hyper equipped,0,245000,€245000,1,Brussels Hoofdstedelijk Gewest,Brussels
68,other-property,flobecq,7880,10666272,585000,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,585000,€585.000.,1,Hainaut,Wallonia
69,country-cottage,flobecq,7880,10666271,585000,Porte d'Ogy 78,5,G,848.0,0,1,0,3500,0,4,0,0,0,1,0,0,2,Installed,Fuel oil,585000,€585.000.,1,Hainaut,Wallonia
70,apartment,wondelgem,9032,10666267,20000,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,20000,€20.000.,0,Oost-Vlaanderen,Flanders
71,apartment,gent,9000,10666266,20000,Alphonse Claeys-Bouüaertlaan 57/001,2,D,312.0,0,0,0,0,0,0,1968,To be done up,0,1,0,0,0,0,Gas,20000,€20.000.,0,Oost-Vlaanderen,Flanders
72,house,ledeberg,9050,10666265,339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,339000,€339000,0,Oost-Vlaanderen,Flanders
73,house,ledeberg,9050,10666264,339000,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295.0,0,0,0,70,0,0,1899,To be done up,0,1,0,0,0,Semi equipped,Gas,339000,€339000,0,Oost-Vlaanderen,Flanders
74,house,aarschot,3200,10666262,235000,Betekomsesteenweg 69F,2,D,398.0,0,0,0,174,0,0,1951,To renovate,0,1,0,1,1,0,Gas,235000,€235000,0,Vlaams-Brabant,Flanders
75,house,beringen,3580,10666261,269950,Koeltorenlaan 11/3,3,E,496.0,0,1,21,0,28,0,1963,0,0,1,0,0,0,Installed,Gas,269950,€269950,1,Limburg,Flanders
76,villa,rumbeke,8800,10666257,845000,Jan Palfijnstraat 1A,4,D,396.0,0,0,0,6720,56,0,1966,0,0,1,0,1,0,Hyper equipped,Electric,845000,€845000,0,West-Vlaanderen,Flanders
77,villa,zele,9240,10666255,419000,Vrijheidsplein 19,3,F,872.0,0,1,0,1425,0,0,1965,To renovate,0,1,0,1,1,Installed,Electric,419000,€419000,1,Oost-Vlaanderen,Flanders
78,house,merksem,2170,10666254,397000,"Uitbreidingstraat 84,",5,D,318.0,0,0,0,273,36,0,1938,0,0,1,0,1,0,Installed,Gas,397000,€397000,0,Antwerpen,Flanders
79,apartment,hoboken,2660,10666253,155000,"Uitbreidingstraat 84,",2,B,192.0,0,0,0,0,25,0,0,0,0,0,0,0,0,Installed,Gas,155000,€155000,0,Antwerpen,Flanders
84,apartment,assebroek,8310,10666243,180000,Katelijnestraat 137,3,B,155.0,0,1,0,0,0,0,1974,As new,0,1,0,0,1,0,0,180000,€180000,1,West-Vlaanderen,Flanders
85,loft,veltem-beisem,3020,10545687,750000,Jan Stasstraat 3,3,C,213.0,0,1,96,0,0,0,0,As new,0,3,0,1,0,Hyper equipped,Gas,750000,€750000,1,Vlaams-Brabant,Flanders
86,apartment,leuven,3000,10666242,298000,Jan Stasstraat 3,1,B,166.0,0,1,5,0,0,0,2012,0,0,1,0,0,0,0,Gas,298000,€298000,1,Vlaams-Brabant,Flanders
87,apartment,heverlee,3001,10666241,280000,Jan Stasstraat 3,2,C,228.0,0,0,0,0,0,0,1967,Good,0,1,0,0,1,0,Gas,280000,€280000,0,Vlaams-Brabant,Flanders
88,apartment,lier,2500,10666239,265000,Pastoor Mellaertstraat 60,2,B,125.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,Gas,265000,€265000,1,Antwerpen,Flanders
89,apartment,oostende,8400,10563903,349000,Artanlaan 2,2,A,100.0,0,1,0,0,0,0,2003,As new,0,1,0,0,2,0,0,349000,€349000,1,West-Vlaanderen,Flanders
91,villa,sint-idesbald,8670,10666231,615000,Artanlaan 2,6,C,218.0,0,1,0,727,0,0,1968,To renovate,0,1,0,0,0,0,0,615000,€615000,1,West-Vlaanderen,Flanders
92,apartment,oostduinkerke,8670,10666229,825000,Artanlaan 2,2,B,108.0,0,1,0,0,0,0,2003,0,0,2,0,0,1,0,Gas,825000,€825000,1,West-Vlaanderen,Flanders
93,mansion,oostende,8400,10666228,439000,Artanlaan 2,5,B,175.0,0,1,0,237,0,0,0,0,0,4,0,0,4,0,0,439000,€439000,1,West-Vlaanderen,Flanders
94,house,nieuwpoort,8620,10666227,225000,Artanlaan 2,3,F,631.0,0,0,0,0,0,0,1953,To be done up,0,1,0,0,1,0,0,225000,€225000,0,West-Vlaanderen,Flanders
95,apartment,oostduinkerke,8670,10666226,3095000,Artanlaan 2,3,C,220.0,0,1,0,0,0,0,1994,As new,0,2,0,0,3,Hyper equipped,Electric,3095000,€3095000,1,West-Vlaanderen,Flanders
122,house,aalst,9300,10666198,435000,Vrijheidstraat 41,4,D,354.0,0,1,0,314,48,0,1960,0,0,1,0,1,2,0,0,435000,€435000,1,Oost-Vlaanderen,Flanders
123,house,borsbeek,2150,10608330,399000,Blancefloerlaan 50,2,C,236.0,0,1,0,195,0,0,0,As new,0,1,0,0,1,0,0,399000,€399000,1,Antwerpen,Flanders
124,house,lummen,3560,10666195,239000,Dorpsstraat 9,3,E,497.0,0,0,0,913,38,0,1959,To renovate,0,1,0,0,1,0,0,239000,€239000,0,Limburg,Flanders
125,house,kuurne,8520,10666194,249000,Marktplein 14,3,D,360.0,0,1,0,285,0,0,0,To be done up,0,2,0,0,2,0,0,249000,€249000,1,West-Vlaanderen,Flanders
126,house,gits,8830,10666193,470000,Marktplein 14,2,F,550.0,0,0,0,4044,0,0,1973,0,0,1,0,0,1,0,0,470000,€470000,0,West-Vlaanderen,Flanders
127,apartment,lichtervelde,8810,10666192,235000,Marktplein 14,2,A,79.0,1,1,0,0,0,0,2016,0,0,1,0,0,1,0,0,235000,€235000,1,West-Vlaanderen,Flanders
128,house,appels,9200,10666191,249000,Oude Vest 90/1,3,F,667.0,0,0,0,148,28,0,0,As new,0,1,0,0,1,Installed,Gas,249000,€249000,0,Oost-Vlaanderen,Flanders
130,house,scherpenheuvel-zichem,3270,10666187,149000,"Het Dorlik, 16",3,F,604.0,0,0,0,450,0,0,0,To renovate,0,1,0,0,0,0,0,149000,€149000,0,Vlaams-Brabant,Flanders
131,town-house,sint-truiden,3800,10666186,239000,"Het Dorlik, 16",2,D,333.0,0,1,0,85,0,0,0,To renovate,0,1,0,0,1,Not installed,Gas,239000,€239000,1,Limburg,Flanders
132,exceptional-property,hasselt,3500,10666184,524900,"Het Dorlik, 16",3,C,240.0,0,1,0,220,0,0,0,0,0,1,0,0,0,Installed,Gas,524900,€524900,1,Limburg,Flanders
133,exceptional-property,hasselt,3500,10666183,699000,"Het Dorlik, 16",2,B,121.0,0,1,0,215,0,0,1920,0,0,1,0,1,2,Installed,Gas,699000,€699000,1,Limburg,Flanders
134,house,genk,3600,10666182,285000,"Het Dorlik, 16",3,B,154.0,0,1,0,20060,0,0,2016,0,0,1,0,0,0,Installed,Gas,285000,€285000,1,Limburg,Flanders
135,house,putte,2580,10666180,365000,Mechelbaan 445,3,F,533.0,0,1,0,935,0,0,1962,To renovate,0,1,0,0,1,Installed,Gas,365000,€365000,1,Antwerpen,Flanders
136,house,putte,2580,10666179,625000,Mechelbaan 445,3,A,100.0,0,0,0,496,0,0,2018,0,0,1,0,0,2,Hyper equipped,Gas,625000,€625000,0,Antwerpen,Flanders
137,apartment,heist-op-den-berg,2220,10666178,348000,Mechelbaan 445,3,B,145.0,0,1,0,0,0,0,2008,0,0,1,0,0,2,Installed,Gas,348000,€348000,1,Antwerpen,Flanders
138,house,vurste,9890,10666177,445000,Dorp 32 A,5,A,40.0,0,0,0,235,0,0,0,0,0,2,0,1,2,0,0,445000,€445000,0,Oost-Vlaanderen,Flanders
139,house,vurste,9890,10666176,375000,Dorp 32 A,5,A,40.0,0,1,0,235,0,0,0,0,0,2,0,0,0,0,0,375000,€375000,1,Oost-Vlaanderen,Flanders
141,ground-floor,molenbeek-saint-jean,1080,10667177,199000,Avenue Louise 120 (4e étage),2,E,216.0,0,1,0,0,32,2,1975,Good,0,1,1,0,1,Not installed,Fuel oil,199000,€199000,1,Brussels Hoofdstedelijk Gewest,Brussels
142,town-house,bois-d%27haine,7170,10631705,186500,Rue Sylvain Guyaux 85,2,D,289.0,0,0,0,0,0,0,0,Good,0,0,1,0,1,Semi equipped,Gas,186500,€186500,0,Hainaut,Wallonia
145,house,etterbeek,1040,10667169,780000,Place Communale 8,5,F,339.0,0,1,3,100,15,2,1930,To be done up,0,1,2,0,3,Hyper equipped,Gas,780000,€780000,1,Brussels Hoofdstedelijk Gewest,Brussels
146,house,olloy-sur-viroin,5670,10667167,88000,Avenue Paul pastur 380,3,F,486.0,0,0,0,139,23,2,0,0,0,1,1,0,2,Installed,Fuel oil,88000,€88000,0,Namur,Wallonia
147,house,frasnes-lez-gosselies,6210,10667166,238000,Avenue Paul pastur 380,3,C,184.0,0,1,40,200,38,2,0,0,0,1,0,0,1,Installed,Gas,238000,€238000,1,Hainaut,Wallonia
148,villa,gozee,6534,10667165,395000,Avenue Paul pastur 380,2,C,228.0,0,1,20,1085,48,4,0,0,0,1,0,0,1,Installed,Fuel oil,395000,€395000,1,Hainaut,Wallonia
149,house,deerlijk,8540,10667164,229000,Hulstedorp 18,3,E,460.0,0,0,0,313,0,3,0,To be done up,0,0,0,0,1,Semi equipped,Fuel oil,229000,€229000,0,West-Vlaanderen,Flanders
150,apartment,molenbeek-st-jean,1080,10667161,295000,Rue Haute 2,2,E,252.0,0,1,9,0,13,2,2007,Good,0,1,1,0,1,Installed,Electric,295000,€295000,1,Brussels Hoofdstedelijk Gewest,Brussels
151,house,keerbergen,3140,10667156,850000,Korenmarkt 55,3,B,194.0,0,1,0,1366,20,4,1994,0,0,1,2,1,2,0,0,850000,€850000,1,Vlaams-Brabant,Flanders
153,house,laeken,1020,10667154,539000,Rue de Wand 25,4,F,301.0,0,1,11,0,32,2,1956,0,0,2,0,0,3,Installed,Fuel oil,539000,€539000,1,Brussels Hoofdstedelijk Gewest,Brussels
156,apartment,beveren,9120,10667148,349000,Kasteeldreef 15,2,D,385.0,0,1,12,0,43,2,1979,To renovate,0,1,0,0,0,0,Gas,349000,€349000,1,Oost-Vlaanderen,Flanders
159,house,berlare,9290,10667127,575000,Dorp 41,2,E,438.0,0,0,0,808,36,4,1989,Good,0,1,0,0,0,0,Electric,575000,€575000,0,Oost-Vlaanderen,Flanders
161,apartment,li%C3%A8ge,4000,10667113,145000,Rue de Plainevaux 102,2,D,300.0,0,0,0,0,28,3,0,To be done up,0,1,0,0,0,0,Gas,145000,€145000,0,Liï¿½ge,Wallonia
164,new-real-estate-project-apartments,liege,4031,10667068,335000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335000,€335000,0,Liï¿½ge,Wallonia
166,new-real-estate-project-apartments,liege,4000,10667039,620000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620000,€620000,0,Liï¿½ge,Wallonia
168,apartment,li%C3%A8ge,4020,10667024,169000,Rue Simon 46/2,1,C,202.0,0,0,0,0,20,2,0,Good,0,1,0,0,1,0,Gas,169000,€169000,0,Liï¿½ge,Wallonia
169,house,mol,2400,10667023,325000,Statiestraat 47,4,D,376.0,0,1,0,572,0,0,0,Good,0,0,0,0,2,Installed,Fuel oil,325000,€325000,1,Antwerpen,Flanders
172,house,aalst,9300,10667019,149000,Graanmarkt 10,2,D,322.0,0,0,0,48,27,2,1935,To be done up,0,1,0,0,1,0,Gas,149000,€149000,0,Oost-Vlaanderen,Flanders
173,apartment,eeklo,9900,10667013,185000,Boelare 67,3,C,282.0,0,1,0,0,0,2,1983,Good,0,1,0,0,0,0,Gas,185000,€185000,1,Oost-Vlaanderen,Flanders
174,apartment,theux,4910,10667011,185000,"Avenue du Chêne, 101",2,B,140.0,0,0,0,0,0,3,0,0,0,1,1,0,2,Installed,Gas,185000,€185000,0,Liï¿½ge,Wallonia
175,house,mouscron,7700,10667005,165000,Boulevard des Déportés 32,3,C,234.0,0,1,0,190,0,2,0,Good,0,1,0,0,1,Installed,Gas,165000,€165000,1,Hainaut,Wallonia
176,house,herseaux,7712,10643228,329000,"Avenue du Château, 200",3,B,137.0,0,1,0,308,0,3,2008,Good,0,1,0,0,2,Installed,Gas,329000,€329000,1,Hainaut,Wallonia
177,apartment,sint-eloois-vijve%20%28waregem%29,8793,10666999,300000,Holstraat 86,2,B,150.0,0,1,0,0,0,4,0,Good,0,1,0,0,0,0,Gas,300000,€300000,1,West-Vlaanderen,Flanders
178,apartment,noorderwijk,2200,10666998,249000,Fraikinstraat 7,2,B,165.0,0,1,14,0,24,3,2004,Good,0,1,0,0,0,0,Gas,249000,€249000,1,Antwerpen,Flanders
179,house,bouffioulx,6200,10478162,79000,Rue du Parc 5 bt3,2,D,283.0,0,0,0,43,20,2,0,0,0,1,0,0,1,0,0,79000,€79000,0,Hainaut,Wallonia
180,apartment-block,monceau-sur-sambre,6031,10666992,220000,Rue du Parc 5 bt3,4,G,748.0,0,0,0,340,40,2,0,0,0,2,0,0,2,0,Gas,220000,€220000,0,Hainaut,Wallonia
181,house,blaasveld,2830,10666990,409000,Dorpshart 10,3,B,190.0,0,1,15,310,0,3,1986,Good,0,1,0,0,2,Installed,Gas,409000,€409000,1,Antwerpen,Flanders
182,villa,gistel,8470,10666986,1245000,Vlamingstraat 26,3,F,818.0,0,1,0,5924,139,0,0,Good,0,0,0,0,1,Installed,Fuel oil,1245000,€1245000,1,West-Vlaanderen,Flanders
183,villa,kapellen,2950,10666985,649000,Kapelsesteenweg 348,4,C,211.0,0,1,20,2505,52,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,649000,€649000,1,Antwerpen,Flanders
184,house,ciney,5590,10666984,599000,Chaussée de Louvain 258,6,D,280.0,0,0,0,3300,62,4,0,As new,0,2,0,1,3,Installed,Fuel oil,599000,€599000,0,Namur,Wallonia
185,apartment,eupen,4700,10666982,135000,Poteauerstrasse 90,1,A,56.0,0,0,0,0,21,0,0,0,0,1,0,0,0,Installed,0,135000,€135000,0,Liï¿½ge,Wallonia
186,house,izegem,8870,10666978,349000,Posterijstraat 61,3,C,285.0,0,0,0,374,0,3,1965,To be done up,0,0,0,0,2,0,Gas,349000,€349000,0,West-Vlaanderen,Flanders
187,apartment,woluwe-saint-pierre,1150,10666977,299000,Rue Archimède 17,2,E,268.0,0,1,0,0,20,2,1934,Good,0,1,0,0,0,0,Gas,299000,€299000,1,Brussels Hoofdstedelijk Gewest,Brussels
189,house,olen,2250,10666972,415000,Graaf De Broquevillestraat 35,3,B,172.0,0,0,0,1233,0,3,1994,Good,0,1,0,0,4,0,Gas,415000,€415000,0,Antwerpen,Flanders
190,house,bornem,2880,10666970,419000,Mercatorstraat 64,3,E,409.0,0,0,0,170,0,3,1900,Good,0,1,0,0,0,0,Gas,419000,€419000,0,Antwerpen,Flanders
191,house,bornem,2880,10666970,419000,Mercatorstraat 64,3,E,409.0,0,0,0,170,0,3,1900,Good,0,1,0,0,0,0,Gas,419000,€419000,0,Antwerpen,Flanders
192,house,bornem,2880,10666969,298000,Mercatorstraat 64,3,F,513.0,0,0,0,370,30,3,1938,Good,0,1,0,0,0,0,0,298000,€298000,0,Antwerpen,Flanders
193,villa,ninove,9400,10666967,680000,Edingsesteenweg 296,6,B,177.0,0,1,0,1182,0,4,1993,Good,0,1,0,1,3,0,Electric,680000,€680000,1,Oost-Vlaanderen,Flanders
194,house,tienen,3300,10666960,315000,Hoogstraat 2 bus 1,3,B,116.0,0,0,0,127,0,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,315000,€315000,0,Vlaams-Brabant,Flanders
